density,sample,row,col,plate ,Well
639191.56,0,0,0,1040,A01
687727.1,1,0,1,1040,A01
565271.7,2,0,2,1040,A02
639244.1,3,0,3,1040,A02
529654.6,4,0,4,1040,A03
613163.44,5,0,5,1040,A03
501849,6,0,6,1040,A04
598581.44,7,0,7,1040,A04
501232.6,8,0,8,1040,A05
565571.4,9,0,9,1040,A05
474246.78,10,0,10,1040,A06
618384.94,11,0,11,1040,A06
487531.62,12,0,12,1040,A07
597110.7,13,0,13,1040,A07
457267.44,14,0,14,1040,A08
616095.9,15,0,15,1040,A08
472260.75,16,0,16,1040,A09
577078.4,17,0,17,1040,A09
455217.2,18,0,18,1040,A10
597290.6,19,0,19,1040,A10
474357.2,20,0,20,1040,A11
596204.6,21,0,21,1040,A11
512703.8,22,0,22,1040,A12
656689,23,0,23,1040,A12
690610.6,24,1,0,1040,A01
583907.1,25,1,1,1040,A01
627451.25,26,1,2,1040,A02
579962.8,27,1,3,1040,A02
582498.94,28,1,4,1040,A03
537255.06,29,1,5,1040,A03
558451.75,30,1,6,1040,A04
530030.9,31,1,7,1040,A04
543158.6,32,1,8,1040,A05
538972.1,33,1,9,1040,A05
614367.75,34,1,10,1040,A06
581952.9,35,1,11,1040,A06
586608.9,36,1,12,1040,A07
522460.56,37,1,13,1040,A07
622664.75,38,1,14,1040,A08
615619,39,1,15,1040,A08
615143,40,1,16,1040,A09
582980.1,41,1,17,1040,A09
620934.94,42,1,18,1040,A10
613244.4,43,1,19,1040,A10
610918,44,1,20,1040,A11
646546.06,45,1,21,1040,A11
622869.1,46,1,22,1040,A12
681330.25,47,1,23,1040,A12
563742.4,48,2,0,1040,B01
607382,49,2,1,1040,B01
442313.47,50,2,2,1040,B02
521737.28,51,2,3,1040,B02
412402.53,52,2,4,1040,B03
518449.62,53,2,5,1040,B03
404541.25,54,2,6,1040,B04
494274.88,55,2,7,1040,B04
393075.12,56,2,8,1040,B05
493762.44,57,2,9,1040,B05
391037.75,58,2,10,1040,B06
517694,59,2,11,1040,B06
371553.9,60,2,12,1040,B07
499192.22,61,2,13,1040,B07
373050.28,62,2,14,1040,B08
493596,63,2,15,1040,B08
371656.44,64,2,16,1040,B09
490557.2,65,2,17,1040,B09
373486.06,66,2,18,1040,B10
512532.44,67,2,19,1040,B10
416407.8,68,2,20,1040,B11
508578.7,69,2,21,1040,B11
471975.75,70,2,22,1040,B12
644609,71,2,23,1040,B12
