density,sample,row,col
-14906.156,0,0.0,0.0
-8330.969,1,0.0,1.0
644274.25,2,0.0,2.0
578165.0,3,0.0,3.0
549617.3,4,0.0,4.0
541179.0,5,0.0,5.0
537824.9,6,0.0,6.0
566805.06,7,0.0,7.0
529733.8,8,0.0,8.0
543353.5,9,0.0,9.0
531768.5,10,0.0,10.0
532334.8,11,0.0,11.0
522703.3,12,0.0,12.0
519020.94,13,0.0,13.0
519893.25,14,0.0,14.0
537176.94,15,0.0,15.0
537905.3,16,0.0,16.0
540785.2,17,0.0,17.0
538082.94,18,0.0,18.0
584965.1,19,0.0,19.0
551270.1,20,0.0,20.0
544531.9,21,0.0,21.0
566023.75,22,0.0,22.0
603537.8,23,0.0,23.0
-5630.5938,24,1.0,0.0
-5656.2812,25,1.0,1.0
597476.1,26,1.0,2.0
526962.3,27,1.0,3.0
519669.62,28,1.0,4.0
505722.2,29,1.0,5.0
533220.8,30,1.0,6.0
529440.5,31,1.0,7.0
537282.25,32,1.0,8.0
531356.25,33,1.0,9.0
525769.25,34,1.0,10.0
534848.1,35,1.0,11.0
499486.62,36,1.0,12.0
509336.34,37,1.0,13.0
512231.8,38,1.0,14.0
534296.8,39,1.0,15.0
518164.75,40,1.0,16.0
510333.6,41,1.0,17.0
543470.5,42,1.0,18.0
531886.0,43,1.0,19.0
538774.25,44,1.0,20.0
554624.7,45,1.0,21.0
547013.8,46,1.0,22.0
615569.75,47,1.0,23.0
652554.44,48,2.0,0.0
565402.5,49,2.0,1.0
509496.7,50,2.0,2.0
498637.4,51,2.0,3.0
470670.9,52,2.0,4.0
460710.03,53,2.0,5.0
464092.88,54,2.0,6.0
461677.62,55,2.0,7.0
495724.94,56,2.0,8.0
467632.6,57,2.0,9.0
465031.8,58,2.0,10.0
471483.94,59,2.0,11.0
465115.97,60,2.0,12.0
478523.34,61,2.0,13.0
495493.44,62,2.0,14.0
510402.78,63,2.0,15.0
472626.84,64,2.0,16.0
507176.25,65,2.0,17.0
493197.5,66,2.0,18.0
501642.9,67,2.0,19.0
508937.47,68,2.0,20.0
514607.25,69,2.0,21.0
553243.4,70,2.0,22.0
620885.6,71,2.0,23.0
578703.5,72,3.0,0.0
509866.38,73,3.0,1.0
537054.44,74,3.0,2.0
560993.0,75,3.0,3.0
474031.56,76,3.0,4.0
554986.25,77,3.0,5.0
497320.22,78,3.0,6.0
542384.8,79,3.0,7.0
534067.1,80,3.0,8.0
519072.62,81,3.0,9.0
468446.0,82,3.0,10.0
490500.16,83,3.0,11.0
470989.72,84,3.0,12.0
472538.56,85,3.0,13.0
509912.38,86,3.0,14.0
527174.1,87,3.0,15.0
499370.7,88,3.0,16.0
595819.25,89,3.0,17.0
503665.56,90,3.0,18.0
509173.78,91,3.0,19.0
506796.56,92,3.0,20.0
522828.03,93,3.0,21.0
556975.25,94,3.0,22.0
620884.0,95,3.0,23.0
562326.9,96,4.0,0.0
485804.06,97,4.0,1.0
478258.84,98,4.0,2.0
461748.12,99,4.0,3.0
466352.84,100,4.0,4.0
463874.8,101,4.0,5.0
461243.38,102,4.0,6.0
441089.75,103,4.0,7.0
435037.25,104,4.0,8.0
469423.7,105,4.0,9.0
446920.8,106,4.0,10.0
467745.1,107,4.0,11.0
436953.44,108,4.0,12.0
