density,sample,row,col
-4361.3438,0,0.0,0.0
279.9375,1,0.0,1.0
486711.56,2,0.0,2.0
461155.8,3,0.0,3.0
436065.0,4,0.0,4.0
428670.75,5,0.0,5.0
420029.38,6,0.0,6.0
436708.38,7,0.0,7.0
434211.03,8,0.0,8.0
436698.9,9,0.0,9.0
431477.47,10,0.0,10.0
438556.94,11,0.0,11.0
435388.38,12,0.0,12.0
432432.47,13,0.0,13.0
422505.44,14,0.0,14.0
444486.7,15,0.0,15.0
427542.56,16,0.0,16.0
446319.12,17,0.0,17.0
439602.38,18,0.0,18.0
444824.66,19,0.0,19.0
442078.56,20,0.0,20.0
453544.47,21,0.0,21.0
468524.0,22,0.0,22.0
532287.6,23,0.0,23.0
1982.3438,24,1.0,0.0
3637.0938,25,1.0,1.0
472843.5,26,1.0,2.0
431299.3,27,1.0,3.0
420568.6,28,1.0,4.0
400024.25,29,1.0,5.0
411055.7,30,1.0,6.0
346507.34,31,1.0,7.0
398233.62,32,1.0,8.0
410885.2,33,1.0,9.0
407637.75,34,1.0,10.0
405874.4,35,1.0,11.0
410582.06,36,1.0,12.0
392944.0,37,1.0,13.0
384468.84,38,1.0,14.0
393526.62,39,1.0,15.0
411997.94,40,1.0,16.0
420305.16,41,1.0,17.0
416616.53,42,1.0,18.0
409352.7,43,1.0,19.0
409338.12,44,1.0,20.0
418633.03,45,1.0,21.0
385774.75,46,1.0,22.0
474005.1,47,1.0,23.0
482438.44,48,2.0,0.0
465801.2,49,2.0,1.0
431109.3,50,2.0,2.0
412467.94,51,2.0,3.0
399972.5,52,2.0,4.0
436128.56,53,2.0,5.0
406398.94,54,2.0,6.0
440420.0,55,2.0,7.0
399499.06,56,2.0,8.0
416784.53,57,2.0,9.0
418171.0,58,2.0,10.0
423815.88,59,2.0,11.0
428321.94,60,2.0,12.0
448459.3,61,2.0,13.0
426968.7,62,2.0,14.0
432194.22,63,2.0,15.0
431277.6,64,2.0,16.0
443169.94,65,2.0,17.0
417826.16,66,2.0,18.0
448485.6,67,2.0,19.0
429911.12,68,2.0,20.0
471286.56,69,2.0,21.0
447239.5,70,2.0,22.0
514983.4,71,2.0,23.0
465725.1,72,3.0,0.0
436207.2,73,3.0,1.0
391482.16,74,3.0,2.0
392605.9,75,3.0,3.0
392333.88,76,3.0,4.0
385673.3,77,3.0,5.0
377062.2,78,3.0,6.0
383889.16,79,3.0,7.0
367218.7,80,3.0,8.0
402648.06,81,3.0,9.0
373564.88,82,3.0,10.0
374601.66,83,3.0,11.0
403496.44,84,3.0,12.0
385804.44,85,3.0,13.0
397563.38,86,3.0,14.0
399741.3,87,3.0,15.0
378011.25,88,3.0,16.0
398596.06,89,3.0,17.0
365043.94,90,3.0,18.0
391453.97,91,3.0,19.0
380322.97,92,3.0,20.0
411224.06,93,3.0,21.0
392690.1,94,3.0,22.0
471369.22,95,3.0,23.0
451377.34,96,4.0,0.0
439100.97,97,4.0,1.0
421286.78,98,4.0,2.0
435336.16,99,4.0,3.0
414898.2,100,4.0,4.0
423512.75,101,4.0,5.0
422872.44,102,4.0,6.0
406400.9,103,4.0,7.0
415524.88,104,4.0,8.0
409697.0,105,4.0,9.0
406889.38,106,4.0,10.0
416401.12,107,4.0,11.0
426304.3,108,4.0,12.0
409962.8,109,4.0,13.0
414496.3,110,4.0,14.0
406101.56,111,4.0,15.0
420996.47,112,4.0,16.0
449781.12,113,4.0,17.0
423670.84,114,4.0,18.0
430427.5,115,4.0,19.0
395278.5,116,4.0,20.0
450745.97,117,4.0,21.0
449153.66,118,4.0,22.0
498137.34,119,4.0,23.0
440792.7,120,5.0,0.0
393926.5,121,5.0,1.0
387653.84,122,5.0,2.0
359798.62,123,5.0,3.0
379279.56,124,5.0,4.0
365939.2,125,5.0,5.0
363096.44,126,5.0,6.0
387852.38,127,5.0,7.0
350185.38,128,5.0,8.0
379653.88,129,5.0,9.0
388529.38,130,5.0,10.0
364300.16,131,5.0,11.0
380491.62,132,5.0,12.0
371711.56,133,5.0,13.0
384804.88,134,5.0,14.0
402105.12,135,5.0,15.0
355926.0,136,5.0,16.0
370035.47,137,5.0,17.0
369314.44,138,5.0,18.0
397814.5,139,5.0,19.0
362082.88,140,5.0,20.0
394189.72,141,5.0,21.0
398409.3,142,5.0,22.0
479274.88,143,5.0,23.0
433018.9,144,6.0,0.0
423627.7,145,6.0,1.0
418368.53,146,6.0,2.0
424677.8,147,6.0,3.0
415457.25,148,6.0,4.0
420717.62,149,6.0,5.0
403497.9,150,6.0,6.0
428705.72,151,6.0,7.0
410051.5,152,6.0,8.0
404130.47,153,6.0,9.0
406288.38,154,6.0,10.0
402041.2,155,6.0,11.0
418203.3,156,6.0,12.0
398458.44,157,6.0,13.0
408137.62,158,6.0,14.0
420148.7,159,6.0,15.0
401874.75,160,6.0,16.0
424499.8,161,6.0,17.0
417825.0,162,6.0,18.0
413889.78,163,6.0,19.0
425591.25,164,6.0,20.0
455820.44,165,6.0,21.0
437713.44,166,6.0,22.0
514507.34,167,6.0,23.0
456444.44,168,7.0,0.0
393721.5,169,7.0,1.0
420105.66,170,7.0,2.0
379138.62,171,7.0,3.0
383757.34,172,7.0,4.0
369861.12,173,7.0,5.0
380022.75,174,7.0,6.0
370927.88,175,7.0,7.0
388549.97,176,7.0,8.0
374228.94,177,7.0,9.0
350469.2,178,7.0,10.0
380223.44,179,7.0,11.0
365621.1,180,7.0,12.0
366772.2,181,7.0,13.0
362733.44,182,7.0,14.0
394390.7,183,7.0,15.0
362430.94,184,7.0,16.0
387166.62,185,7.0,17.0
360419.2,186,7.0,18.0
387398.3,187,7.0,19.0
364369.75,188,7.0,20.0
394563.3,189,7.0,21.0
383723.0,190,7.0,22.0
479174.78,191,7.0,23.0
426125.88,192,8.0,0.0
416778.6,193,8.0,1.0
386485.56,194,8.0,2.0
432737.3,195,8.0,3.0
407166.62,196,8.0,4.0
414505.72,197,8.0,5.0
412231.62,198,8.0,6.0
439487.06,199,8.0,7.0
401778.2,200,8.0,8.0
404316.88,201,8.0,9.0
401762.0,202,8.0,10.0
404272.88,203,8.0,11.0
397746.2,204,8.0,12.0
414297.22,205,8.0,13.0
406318.75,206,8.0,14.0
412181.62,207,8.0,15.0
