density,sample,row,col
576706.75,0,0.0,0.0
662601.7,1,0.0,1.0
536706.75,2,0.0,2.0
559380.5,3,0.0,3.0
525479.44,4,0.0,4.0
565905.06,5,0.0,5.0
493987.9,6,0.0,6.0
546014.9,7,0.0,7.0
527247.6,8,0.0,8.0
568165.1,9,0.0,9.0
521097.3,10,0.0,10.0
550806.1,11,0.0,11.0
517476.47,12,0.0,12.0
564093.2,13,0.0,13.0
526788.7,14,0.0,14.0
564054.7,15,0.0,15.0
509886.47,16,0.0,16.0
550488.94,17,0.0,17.0
513658.44,18,0.0,18.0
574930.9,19,0.0,19.0
497968.75,20,0.0,20.0
577995.4,21,0.0,21.0
548553.06,22,0.0,22.0
643743.2,23,0.0,23.0
553019.5,24,1.0,0.0
483980.94,25,1.0,1.0
508364.8,26,1.0,2.0
440345.7,27,1.0,3.0
492023.16,28,1.0,4.0
444315.9,29,1.0,5.0
458220.8,30,1.0,6.0
438230.03,31,1.0,7.0
489800.72,32,1.0,8.0
443136.47,33,1.0,9.0
493371.0,34,1.0,10.0
448371.6,35,1.0,11.0
469935.62,36,1.0,12.0
445073.47,37,1.0,13.0
508046.47,38,1.0,14.0
431312.88,39,1.0,15.0
481013.6,40,1.0,16.0
427826.78,41,1.0,17.0
485651.7,42,1.0,18.0
426817.28,43,1.0,19.0
482369.94,44,1.0,20.0
419198.97,45,1.0,21.0
574157.4,46,1.0,22.0
525155.1,47,1.0,23.0
552532.2,48,2.0,0.0
521903.94,49,2.0,1.0
428115.38,50,2.0,2.0
484872.62,51,2.0,3.0
443840.2,52,2.0,4.0
479070.03,53,2.0,5.0
448642.0,54,2.0,6.0
489200.47,55,2.0,7.0
478315.62,56,2.0,8.0
491421.5,57,2.0,9.0
433114.84,58,2.0,10.0
462868.06,59,2.0,11.0
443034.12,60,2.0,12.0
508094.7,61,2.0,13.0
427863.94,62,2.0,14.0
491487.56,63,2.0,15.0
433199.5,64,2.0,16.0
509136.0,65,2.0,17.0
477598.38,66,2.0,18.0
543472.7,67,2.0,19.0
437002.22,68,2.0,20.0
519914.06,69,2.0,21.0
520388.0,70,2.0,22.0
585656.9,71,2.0,23.0
549870.8,72,3.0,0.0
472016.78,73,3.0,1.0
431210.25,74,3.0,2.0
422290.2,75,3.0,3.0
423857.25,76,3.0,4.0
399141.2,77,3.0,5.0
432679.88,78,3.0,6.0
408301.03,79,3.0,7.0
453972.8,80,3.0,8.0
405500.25,81,3.0,9.0
423544.5,82,3.0,10.0
402760.2,83,3.0,11.0
443056.4,84,3.0,12.0
406617.56,85,3.0,13.0
432279.78,86,3.0,14.0
403769.4,87,3.0,15.0
434732.78,88,3.0,16.0
385881.44,89,3.0,17.0
473703.16,90,3.0,18.0
424084.44,91,3.0,19.0
430671.84,92,3.0,20.0
420633.5,93,3.0,21.0
509552.4,94,3.0,22.0
512916.44,95,3.0,23.0
530657.3,96,4.0,0.0
523650.28,97,4.0,1.0
429584.7,98,4.0,2.0
477401.8,99,4.0,3.0
412832.44,100,4.0,4.0
466545.28,101,4.0,5.0
424185.53,102,4.0,6.0
474637.12,103,4.0,7.0
419333.62,104,4.0,8.0
467308.28,105,4.0,9.0
410821.3,106,4.0,10.0
468454.0,107,4.0,11.0
421726.03,108,4.0,12.0
475194.84,109,4.0,13.0
414188.94,110,4.0,14.0
461730.4,111,4.0,15.0
421654.97,112,4.0,16.0
488299.5,113,4.0,17.0
431844.25,114,4.0,18.0
503342.3,115,4.0,19.0
428639.56,116,4.0,20.0
470861.75,117,4.0,21.0
466378.7,118,4.0,22.0
593987.3,119,4.0,23.0
537680.7,120,5.0,0.0
458833.28,121,5.0,1.0
423677.25,122,5.0,2.0
395161.6,123,5.0,3.0
408640.0,124,5.0,4.0
385601.7,125,5.0,5.0
413578.75,126,5.0,6.0
399700.1,127,5.0,7.0
389885.75,128,5.0,8.0
386628.75,129,5.0,9.0
418641.38,130,5.0,10.0
391663.7,131,5.0,11.0
405576.7,132,5.0,12.0
404612.4,133,5.0,13.0
421816.56,134,5.0,14.0
403801.72,135,5.0,15.0
415135.34,136,5.0,16.0
380598.03,137,5.0,17.0
431074.28,138,5.0,18.0
386542.62,139,5.0,19.0
418163.56,140,5.0,20.0
392923.34,141,5.0,21.0
514297.7,142,5.0,22.0
514361.25,143,5.0,23.0
548568.6,144,6.0,0.0
480441.12,145,6.0,1.0
435045.44,146,6.0,2.0
472727.62,147,6.0,3.0
430129.06,148,6.0,4.0
490228.44,149,6.0,5.0
417022.2,150,6.0,6.0
472970.28,151,6.0,7.0
480670.3,152,6.0,8.0
480440.5,153,6.0,9.0
427449.88,154,6.0,10.0
462025.88,155,6.0,11.0
413498.06,156,6.0,12.0
416538.25,157,6.0,13.0
449729.75,158,6.0,14.0
490606.0,159,6.0,15.0
432643.3,160,6.0,16.0
476723.22,161,6.0,17.0
406108.75,162,6.0,18.0
480559.28,163,6.0,19.0
443162.25,164,6.0,20.0
491021.72,165,6.0,21.0
481686.62,166,6.0,22.0
584643.1,167,6.0,23.0
504054.94,168,7.0,0.0
447631.56,169,7.0,1.0
429035.1,170,7.0,2.0
382513.53,171,7.0,3.0
415884.94,172,7.0,4.0
392324.94,173,7.0,5.0
410040.7,174,7.0,6.0
386704.62,175,7.0,7.0
415780.38,176,7.0,8.0
400172.44,177,7.0,9.0
413707.84,178,7.0,10.0
412445.6,179,7.0,11.0
412862.62,180,7.0,12.0
387405.44,181,7.0,13.0
420105.3,182,7.0,14.0
399349.8,183,7.0,15.0
418877.4,184,7.0,16.0
379612.84,185,7.0,17.0
428826.12,186,7.0,18.0
387974.44,187,7.0,19.0
449574.94,188,7.0,20.0
409478.53,189,7.0,21.0
