density,sample,row,col
616497.06,0,0.0,0.0
514325.6,1,0.0,1.0
585768.25,2,0.0,2.0
488852.12,3,0.0,3.0
557693.25,4,0.0,4.0
510834.9,5,0.0,5.0
551694.75,6,0.0,6.0
481108.16,7,0.0,7.0
543471.4,8,0.0,8.0
517613.28,9,0.0,9.0
539206.3,10,0.0,10.0
505721.9,11,0.0,11.0
543556.9,12,0.0,12.0
492038.75,13,0.0,13.0
545936.1,14,0.0,14.0
484752.62,15,0.0,15.0
554835.2,16,0.0,16.0
517980.4,17,0.0,17.0
550987.3,18,0.0,18.0
496848.2,19,0.0,19.0
552304.5,20,0.0,20.0
479913.38,21,0.0,21.0
623463.8,22,0.0,22.0
565836.6,23,0.0,23.0
635806.06,24,1.0,0.0
470604.22,25,1.0,1.0
564566.9,26,1.0,2.0
496037.53,27,1.0,3.0
535646.1,28,1.0,4.0
478530.1,29,1.0,5.0
525185.5,30,1.0,6.0
476674.12,31,1.0,7.0
491349.94,32,1.0,8.0
487341.0,33,1.0,9.0
488014.62,34,1.0,10.0
477899.94,35,1.0,11.0
512073.44,36,1.0,12.0
481322.84,37,1.0,13.0
520401.75,38,1.0,14.0
468047.8,39,1.0,15.0
520300.1,40,1.0,16.0
476842.22,41,1.0,17.0
535087.5,42,1.0,18.0
484941.34,43,1.0,19.0
570395.2,44,1.0,20.0
472039.4,45,1.0,21.0
646696.0,46,1.0,22.0
598801.4,47,1.0,23.0
554683.75,48,2.0,0.0
444093.94,49,2.0,1.0
519567.5,50,2.0,2.0
406328.2,51,2.0,3.0
448012.22,52,2.0,4.0
414994.56,53,2.0,5.0
485006.78,54,2.0,6.0
399179.28,55,2.0,7.0
469792.6,56,2.0,8.0
426188.94,57,2.0,9.0
475342.88,58,2.0,10.0
429654.03,59,2.0,11.0
475315.62,60,2.0,12.0
445268.44,61,2.0,13.0
460037.72,62,2.0,14.0
404405.44,63,2.0,15.0
501132.38,64,2.0,16.0
420231.72,65,2.0,17.0
569006.75,66,2.0,18.0
556210.9,67,2.0,19.0
432545.34,68,2.0,20.0
417880.44,69,2.0,21.0
578591.75,70,2.0,22.0
529501.6,71,2.0,23.0
610879.94,72,3.0,0.0
454495.56,73,3.0,1.0
541486.5,74,3.0,2.0
441248.56,75,3.0,3.0
514613.9,76,3.0,4.0
412363.88,77,3.0,5.0
495254.62,78,3.0,6.0
465784.0,79,3.0,7.0
478442.75,80,3.0,8.0
452587.56,81,3.0,9.0
480582.56,82,3.0,10.0
433973.12,83,3.0,11.0
470775.7,84,3.0,12.0
463935.1,85,3.0,13.0
485350.62,86,3.0,14.0
442583.3,87,3.0,15.0
494487.0,88,3.0,16.0
458461.72,89,3.0,17.0
407272.0,90,3.0,18.0
414445.9,91,3.0,19.0
532289.8,92,3.0,20.0
423464.6,93,3.0,21.0
605845.1,94,3.0,22.0
580326.25,95,3.0,23.0
522473.22,96,4.0,0.0
428914.8,97,4.0,1.0
417539.25,98,4.0,2.0
