density,sample,row,col
439189.2,0,0.0,0.0
454528.72,1,0.0,1.0
389483.75,2,0.0,2.0
422487.66,3,0.0,3.0
380170.47,4,0.0,4.0
432274.53,5,0.0,5.0
363096.3,6,0.0,6.0
421050.22,7,0.0,7.0
386669.88,8,0.0,8.0
458526.56,9,0.0,9.0
402509.44,10,0.0,10.0
582836.44,11,0.0,11.0
379721.5,12,0.0,12.0
463513.2,13,0.0,13.0
386302.66,14,0.0,14.0
450236.8,15,0.0,15.0
383714.16,16,0.0,16.0
453559.16,17,0.0,17.0
393490.75,18,0.0,18.0
497161.56,19,0.0,19.0
419307.8,20,0.0,20.0
484728.88,21,0.0,21.0
444256.72,22,0.0,22.0
579381.25,23,0.0,23.0
577870.0,24,1.0,0.0
658558.5,25,1.0,1.0
522177.94,26,1.0,2.0
578284.25,27,1.0,3.0
513579.56,28,1.0,4.0
603462.5,29,1.0,5.0
536587.9,30,1.0,6.0
633273.4,31,1.0,7.0
556289.4,32,1.0,8.0
625207.6,33,1.0,9.0
636564.44,34,1.0,10.0
629776.4,35,1.0,11.0
575096.6,36,1.0,12.0
650029.9,37,1.0,13.0
517925.53,38,1.0,14.0
603868.6,39,1.0,15.0
516903.53,40,1.0,16.0
562766.25,41,1.0,17.0
545631.5,42,1.0,18.0
591141.9,43,1.0,19.0
538206.9,44,1.0,20.0
589720.0,45,1.0,21.0
613040.25,46,1.0,22.0
684028.6,47,1.0,23.0
403133.94,48,2.0,0.0
447813.16,49,2.0,1.0
344302.06,50,2.0,2.0
411375.3,51,2.0,3.0
331886.12,52,2.0,4.0
415520.44,53,2.0,5.0
326939.38,54,2.0,6.0
411837.2,55,2.0,7.0
322255.88,56,2.0,8.0
402769.28,57,2.0,9.0
336257.3,58,2.0,10.0
458266.25,59,2.0,11.0
316095.38,60,2.0,12.0
384101.1,61,2.0,13.0
350246.62,62,2.0,14.0
436361.78,63,2.0,15.0
334402.06,64,2.0,16.0
397794.12,65,2.0,17.0
350101.62,66,2.0,18.0
425636.5,67,2.0,19.0
372981.47,68,2.0,20.0
366462.06,69,2.0,21.0
429503.72,70,2.0,22.0
409978.72,71,2.0,23.0
590963.9,72,3.0,0.0
616808.1,73,3.0,1.0
496830.53,74,3.0,2.0
556992.2,75,3.0,3.0
494993.25,76,3.0,4.0
581673.6,77,3.0,5.0
475563.88,78,3.0,6.0
527502.9,79,3.0,7.0
471206.06,80,3.0,8.0
520877.75,81,3.0,9.0
536133.5,82,3.0,10.0
581693.06,83,3.0,11.0
432908.25,84,3.0,12.0
504106.7,85,3.0,13.0
