density,sample,row,col
508903.25,0,0.0,0.0
541966.94,1,0.0,1.0
491967.28,2,0.0,2.0
516893.75,3,0.0,3.0
482884.16,4,0.0,4.0
525337.25,5,0.0,5.0
471729.5,6,0.0,6.0
520244.75,7,0.0,7.0
450630.62,8,0.0,8.0
518773.9,9,0.0,9.0
452313.34,10,0.0,10.0
504371.62,11,0.0,11.0
473737.25,12,0.0,12.0
487622.5,13,0.0,13.0
445512.5,14,0.0,14.0
528080.1,15,0.0,15.0
485004.75,16,0.0,16.0
542075.56,17,0.0,17.0
464263.8,18,0.0,18.0
532279.2,19,0.0,19.0
474837.38,20,0.0,20.0
544744.2,21,0.0,21.0
514977.38,22,0.0,22.0
614124.75,23,0.0,23.0
500863.88,24,1.0,0.0
438236.12,25,1.0,1.0
461027.28,26,1.0,2.0
431512.44,27,1.0,3.0
394183.44,28,1.0,4.0
481426.9,29,1.0,5.0
402150.47,30,1.0,6.0
457518.56,31,1.0,7.0
407935.94,32,1.0,8.0
416012.4,33,1.0,9.0
409099.72,34,1.0,10.0
448843.44,35,1.0,11.0
388082.53,36,1.0,12.0
446912.03,37,1.0,13.0
394973.78,38,1.0,14.0
415930.66,39,1.0,15.0
412385.28,40,1.0,16.0
508789.66,41,1.0,17.0
420638.88,42,1.0,18.0
507739.3,43,1.0,19.0
419890.44,44,1.0,20.0
536712.4,45,1.0,21.0
494632.0,46,1.0,22.0
613733.94,47,1.0,23.0
521794.2,48,2.0,0.0
469631.12,49,2.0,1.0
401621.25,50,2.0,2.0
439864.2,51,2.0,3.0
409628.5,52,2.0,4.0
450928.38,53,2.0,5.0
386823.28,54,2.0,6.0
482035.0,55,2.0,7.0
412915.94,56,2.0,8.0
485556.47,57,2.0,9.0
394713.06,58,2.0,10.0
484876.3,59,2.0,11.0
412004.06,60,2.0,12.0
489968.12,61,2.0,13.0
394198.25,62,2.0,14.0
511967.75,63,2.0,15.0
407278.9,64,2.0,16.0
494229.56,65,2.0,17.0
438606.62,66,2.0,18.0
487851.56,67,2.0,19.0
417995.38,68,2.0,20.0
523101.2,69,2.0,21.0
446692.38,70,2.0,22.0
549006.25,71,2.0,23.0
486930.78,72,3.0,0.0
431972.5,73,3.0,1.0
415860.0,74,3.0,2.0
417954.88,75,3.0,3.0
404109.44,76,3.0,4.0
410858.88,77,3.0,5.0
384955.2,78,3.0,6.0
387482.8,79,3.0,7.0
380051.03,80,3.0,8.0
400705.06,81,3.0,9.0
382550.8,82,3.0,10.0
398501.5,83,3.0,11.0
372782.3,84,3.0,12.0
431015.3,85,3.0,13.0
383209.6,86,3.0,14.0
394509.2,87,3.0,15.0
386153.38,88,3.0,16.0
483655.62,89,3.0,17.0
408699.0,90,3.0,18.0
499965.53,91,3.0,19.0
365913.6,92,3.0,20.0
426828.38,93,3.0,21.0
422803.88,94,3.0,22.0
599040.25,95,3.0,23.0
510027.34,96,4.0,0.0
471525.25,97,4.0,1.0
416028.2,98,4.0,2.0
446423.47,99,4.0,3.0
408372.38,100,4.0,4.0
433627.3,101,4.0,5.0
394298.97,102,4.0,6.0
446364.7,103,4.0,7.0
396036.2,104,4.0,8.0
453797.38,105,4.0,9.0
397434.0,106,4.0,10.0
457221.94,107,4.0,11.0
394203.0,108,4.0,12.0
456203.3,109,4.0,13.0
368710.62,110,4.0,14.0
468254.7,111,4.0,15.0
370458.25,112,4.0,16.0
427517.56,113,4.0,17.0
384672.34,114,4.0,18.0
465164.22,115,4.0,19.0
372861.1,116,4.0,20.0
470089.7,117,4.0,21.0
437489.88,118,4.0,22.0
506062.62,119,4.0,23.0
468726.2,120,5.0,0.0
409514.16,121,5.0,1.0
400573.84,122,5.0,2.0
407600.3,123,5.0,3.0
380689.97,124,5.0,4.0
398288.7,125,5.0,5.0
371705.5,126,5.0,6.0
369419.7,127,5.0,7.0
372211.2,128,5.0,8.0
388093.38,129,5.0,9.0
370894.06,130,5.0,10.0
406479.2,131,5.0,11.0
371420.34,132,5.0,12.0
426798.72,133,5.0,13.0
354004.5,134,5.0,14.0
401606.44,135,5.0,15.0
370481.06,136,5.0,16.0
442575.44,137,5.0,17.0
343503.16,138,5.0,18.0
475895.12,139,5.0,19.0
341122.47,140,5.0,20.0
475165.0,141,5.0,21.0
410548.0,142,5.0,22.0
580365.75,143,5.0,23.0
492717.0,144,6.0,0.0
512280.62,145,6.0,1.0
393797.0,146,6.0,2.0
449294.94,147,6.0,3.0
391498.1,148,6.0,4.0
435131.62,149,6.0,5.0
384204.66,150,6.0,6.0
441288.06,151,6.0,7.0
387175.4,152,6.0,8.0
423515.66,153,6.0,9.0
380383.7,154,6.0,10.0
415220.72,155,6.0,11.0
374217.47,156,6.0,12.0
437157.06,157,6.0,13.0
377471.38,158,6.0,14.0
460692.88,159,6.0,15.0
362840.62,160,6.0,16.0
439270.8,161,6.0,17.0
374755.38,162,6.0,18.0
466765.06,163,6.0,19.0
398351.28,164,6.0,20.0
449310.94,165,6.0,21.0
425334.47,166,6.0,22.0
522013.5,167,6.0,23.0
486105.25,168,7.0,0.0
400535.25,169,7.0,1.0
390936.0,170,7.0,2.0
382604.22,171,7.0,3.0
395455.7,172,7.0,4.0
392735.47,173,7.0,5.0
346776.7,174,7.0,6.0
388248.94,175,7.0,7.0
371802.72,176,7.0,8.0
376483.06,177,7.0,9.0
357340.7,178,7.0,10.0
384319.44,179,7.0,11.0
355372.8,180,7.0,12.0
383513.75,181,7.0,13.0
358525.12,182,7.0,14.0
404749.38,183,7.0,15.0
346955.6,184,7.0,16.0
408055.06,185,7.0,17.0
359899.2,186,7.0,18.0
460053.38,187,7.0,19.0
369112.12,188,7.0,20.0
469370.88,189,7.0,21.0
419537.6,190,7.0,22.0
561053.9,191,7.0,23.0
497945.3,192,8.0,0.0
518118.7,193,8.0,1.0
388793.22,194,8.0,2.0
484959.97,195,8.0,3.0
381651.8,196,8.0,4.0
447350.06,197,8.0,5.0
336817.72,198,8.0,6.0
439955.28,199,8.0,7.0
384699.16,200,8.0,8.0
444494.94,201,8.0,9.0
390275.75,202,8.0,10.0
423359.3,203,8.0,11.0
382287.47,204,8.0,12.0
435738.12,205,8.0,13.0
377251.44,206,8.0,14.0
423355.44,207,8.0,15.0
344568.66,208,8.0,16.0
422260.44,209,8.0,17.0
383533.5,210,8.0,18.0
444951.5,211,8.0,19.0
400365.12,212,8.0,20.0
433024.78,213,8.0,21.0
423324.25,214,8.0,22.0
524713.0,215,8.0,23.0
468866.84,216,9.0,0.0
401352.8,217,9.0,1.0
403476.94,218,9.0,2.0
381587.12,219,9.0,3.0
359959.88,220,9.0,4.0
381843.03,221,9.0,5.0
342024.44,222,9.0,6.0
375481.78,223,9.0,7.0
382351.44,224,9.0,8.0
366191.4,225,9.0,9.0
379122.56,226,9.0,10.0
383101.2,227,9.0,11.0
365360.25,228,9.0,12.0
402344.84,229,9.0,13.0
353491.94,230,9.0,14.0
403294.47,231,9.0,15.0
365655.84,232,9.0,16.0
429035.44,233,9.0,17.0
370201.5,234,9.0,18.0
430439.62,235,9.0,19.0
383216.3,236,9.0,20.0
489366.5,237,9.0,21.0
413915.34,238,9.0,22.0
544855.25,239,9.0,23.0
484971.34,240,10.0,0.0
549315.4,241,10.0,1.0
403321.5,242,10.0,2.0
453009.66,243,10.0,3.0
395432.78,244,10.0,4.0
479495.16,245,10.0,5.0
408051.38,246,10.0,6.0
436466.8,247,10.0,7.0
385198.75,248,10.0,8.0
436020.88,249,10.0,9.0
380179.22,250,10.0,10.0
446682.53,251,10.0,11.0
391945.9,252,10.0,12.0
432767.22,253,10.0,13.0
376778.6,254,10.0,14.0
430633.44,255,10.0,15.0
373502.8,256,10.0,16.0
411370.62,257,10.0,17.0
387208.9,258,10.0,18.0
453888.62,259,10.0,19.0
399667.84,260,10.0,20.0
435666.16,261,10.0,21.0
422294.44,262,10.0,22.0
525123.1,263,10.0,23.0
495306.94,264,11.0,0.0
411744.78,265,11.0,1.0
377722.7,266,11.0,2.0
373687.5,267,11.0,3.0
383577.3,268,11.0,4.0
386011.88,269,11.0,5.0
408458.8,270,11.0,6.0
377852.22,271,11.0,7.0
379217.28,272,11.0,8.0
389711.12,273,11.0,9.0
371863.28,274,11.0,10.0
376975.0,275,11.0,11.0
386087.94,276,11.0,12.0
389546.9,277,11.0,13.0
395127.3,278,11.0,14.0
469335.4,279,11.0,15.0
381475.1,280,11.0,16.0
429185.47,281,11.0,17.0
371776.25,282,11.0,18.0
452187.53,283,11.0,19.0
398416.62,284,11.0,20.0
482880.34,285,11.0,21.0
425539.28,286,11.0,22.0
583625.44,287,11.0,23.0
488164.06,288,12.0,0.0
545007.94,289,12.0,1.0
394486.0,290,12.0,2.0
489895.53,291,12.0,3.0
374908.3,292,12.0,4.0
459499.7,293,12.0,5.0
405005.62,294,12.0,6.0
437510.0,295,12.0,7.0
409849.9,296,12.0,8.0
434571.38,297,12.0,9.0
392973.25,298,12.0,10.0
457408.47,299,12.0,11.0
380822.97,300,12.0,12.0
434521.94,301,12.0,13.0
386188.94,302,12.0,14.0
443556.03,303,12.0,15.0
394113.5,304,12.0,16.0
440904.97,305,12.0,17.0
399818.5,306,12.0,18.0
445954.94,307,12.0,19.0
414168.94,308,12.0,20.0
474841.8,309,12.0,21.0
460617.38,310,12.0,22.0
538861.4,311,12.0,23.0
512019.22,312,13.0,0.0
441354.56,313,13.0,1.0
421439.94,314,13.0,2.0
398236.8,315,13.0,3.0
405026.03,316,13.0,4.0
395992.25,317,13.0,5.0
410171.25,318,13.0,6.0
395797.7,319,13.0,7.0
410080.72,320,13.0,8.0
405394.4,321,13.0,9.0
411401.25,322,13.0,10.0
404966.53,323,13.0,11.0
400416.38,324,13.0,12.0
432065.88,325,13.0,13.0
406466.72,326,13.0,14.0
455154.78,327,13.0,15.0
397855.97,328,13.0,16.0
447801.06,329,13.0,17.0
414904.53,330,13.0,18.0
456040.2,331,13.0,19.0
420601.44,332,13.0,20.0
492614.25,333,13.0,21.0
504079.8,334,13.0,22.0
664469.5,335,13.0,23.0
530998.7,336,14.0,0.0
520096.4,337,14.0,1.0
415726.6,338,14.0,2.0
530902.0,339,14.0,3.0
435021.84,340,14.0,4.0
462818.25,341,14.0,5.0
371741.88,342,14.0,6.0
446548.2,343,14.0,7.0
436411.3,344,14.0,8.0
480922.0,345,14.0,9.0
439430.8,346,14.0,10.0
473341.47,347,14.0,11.0
425577.84,348,14.0,12.0
489885.66,349,14.0,13.0
434743.1,350,14.0,14.0
466322.38,351,14.0,15.0
423485.94,352,14.0,16.0
472831.94,353,14.0,17.0
442637.56,354,14.0,18.0
494173.6,355,14.0,19.0
482345.62,356,14.0,20.0
558425.7,357,14.0,21.0
2875.9219,358,14.0,22.0
356.125,359,14.0,23.0
567981.25,360,15.0,0.0
499086.66,361,15.0,1.0
519310.5,362,15.0,2.0
469073.7,363,15.0,3.0
483206.38,364,15.0,4.0
496155.8,365,15.0,5.0
452696.16,366,15.0,6.0
482126.12,367,15.0,7.0
502748.56,368,15.0,8.0
478283.03,369,15.0,9.0
499278.2,370,15.0,10.0
500658.0,371,15.0,11.0
484367.6,372,15.0,12.0
511839.75,373,15.0,13.0
480440.28,374,15.0,14.0
511090.5,375,15.0,15.0
491288.03,376,15.0,16.0
559976.4,377,15.0,17.0
501017.25,378,15.0,18.0
534530.25,379,15.0,19.0
537056.3,380,15.0,20.0
656319.4,381,15.0,21.0
-11248.75,382,15.0,22.0
-13462.578,383,15.0,23.0
