density,sample,row,col
63510.945,0,0.0,0.0
73377.016,1,0.0,1.0
649972.5,2,0.0,2.0
626888.94,3,0.0,3.0
552471.5,4,0.0,4.0
625297.25,5,0.0,5.0
508385.3,6,0.0,6.0
581914.4,7,0.0,7.0
535795.75,8,0.0,8.0
632386.5,9,0.0,9.0
509595.97,10,0.0,10.0
575824.9,11,0.0,11.0
526589.2,12,0.0,12.0
620207.9,13,0.0,13.0
524773.6,14,0.0,14.0
606609.4,15,0.0,15.0
643203.25,16,0.0,16.0
683676.4,17,0.0,17.0
503794.97,18,0.0,18.0
582090.94,19,0.0,19.0
603315.75,20,0.0,20.0
768822.44,21,0.0,21.0
-4114.375,22,0.0,22.0
-9622.5,23,0.0,23.0
69736.52,24,1.0,0.0
53399.14,25,1.0,1.0
702211.6,26,1.0,2.0
637195.25,27,1.0,3.0
573553.06,28,1.0,4.0
558010.94,29,1.0,5.0
502228.3,30,1.0,6.0
494689.25,31,1.0,7.0
572773.4,32,1.0,8.0
636764.5,33,1.0,9.0
495281.47,34,1.0,10.0
514606.47,35,1.0,11.0
596105.6,36,1.0,12.0
615222.7,37,1.0,13.0
548281.9,38,1.0,14.0
562946.25,39,1.0,15.0
556052.9,40,1.0,16.0
524172.62,41,1.0,17.0
470894.38,42,1.0,18.0
489434.78,43,1.0,19.0
684763.4,44,1.0,20.0
834882.5,45,1.0,21.0
-6528.6875,46,1.0,22.0
19571.0,47,1.0,23.0
690258.56,48,2.0,0.0
705656.6,49,2.0,1.0
504651.84,50,2.0,2.0
561770.75,51,2.0,3.0
445309.0,52,2.0,4.0
514687.38,53,2.0,5.0
424939.94,54,2.0,6.0
475912.06,55,2.0,7.0
437955.12,56,2.0,8.0
501551.94,57,2.0,9.0
413064.44,58,2.0,10.0
538868.94,59,2.0,11.0
436173.38,60,2.0,12.0
540315.25,61,2.0,13.0
443127.47,62,2.0,14.0
563306.0,63,2.0,15.0
415445.28,64,2.0,16.0
528455.06,65,2.0,17.0
439006.22,66,2.0,18.0
555518.56,67,2.0,19.0
557282.25,68,2.0,20.0
724049.9,69,2.0,21.0
3154.0312,70,2.0,22.0
5617.125,71,2.0,23.0
741886.75,72,3.0,0.0
655754.8,73,3.0,1.0
586896.6,74,3.0,2.0
605943.94,75,3.0,3.0
567649.5,76,3.0,4.0
599828.8,77,3.0,5.0
471475.94,78,3.0,6.0
496122.2,79,3.0,7.0
493263.8,80,3.0,8.0
564999.25,81,3.0,9.0
523192.06,82,3.0,10.0
615603.4,83,3.0,11.0
540708.1,84,3.0,12.0
590050.2,85,3.0,13.0
542637.3,86,3.0,14.0
627564.25,87,3.0,15.0
512477.88,88,3.0,16.0
581966.5,89,3.0,17.0
528938.06,90,3.0,18.0
617474.1,91,3.0,19.0
638423.1,92,3.0,20.0
779421.6,93,3.0,21.0
6038.4688,94,3.0,22.0
-4938.75,95,3.0,23.0
504839.9,96,4.0,0.0
569761.7,97,4.0,1.0
474269.0,98,4.0,2.0
556740.94,99,4.0,3.0
424045.8,100,4.0,4.0
441785.2,101,4.0,5.0
435440.84,102,4.0,6.0
497461.2,103,4.0,7.0
396428.06,104,4.0,8.0
457024.38,105,4.0,9.0
397238.56,106,4.0,10.0
472867.88,107,4.0,11.0
395199.22,108,4.0,12.0
482370.78,109,4.0,13.0
401952.12,110,4.0,14.0
520112.44,111,4.0,15.0
384928.25,112,4.0,16.0
471831.62,113,4.0,17.0
469378.44,114,4.0,18.0
589566.06,115,4.0,19.0
-2264.6875,116,4.0,20.0
-20557.688,117,4.0,21.0
-4806.2812,118,4.0,22.0
962.5625,119,4.0,23.0
617513.75,120,5.0,0.0
566480.0,121,5.0,1.0
594951.9,122,5.0,2.0
577808.2,123,5.0,3.0
464794.66,124,5.0,4.0
456999.44,125,5.0,5.0
663066.44,126,5.0,6.0
711553.44,127,5.0,7.0
478918.6,128,5.0,8.0
578275.5,129,5.0,9.0
524799.3,130,5.0,10.0
646295.3,131,5.0,11.0
532805.06,132,5.0,12.0
607471.0,133,5.0,13.0
566472.7,134,5.0,14.0
654247.9,135,5.0,15.0
452812.47,136,5.0,16.0
492466.3,137,5.0,17.0
526924.75,138,5.0,18.0
651828.1,139,5.0,19.0
-9785.0,140,5.0,20.0
-3901.8125,141,5.0,21.0
12398.656,142,5.0,22.0
19763.625,143,5.0,23.0
594245.6,144,6.0,0.0
559306.1,145,6.0,1.0
467217.78,146,6.0,2.0
535922.8,147,6.0,3.0
423981.2,148,6.0,4.0
417397.84,149,6.0,5.0
396148.06,150,6.0,6.0
434924.88,151,6.0,7.0
382612.75,152,6.0,8.0
446412.12,153,6.0,9.0
393927.0,154,6.0,10.0
455479.75,155,6.0,11.0
370887.3,156,6.0,12.0
443856.7,157,6.0,13.0
388973.2,158,6.0,14.0
464733.8,159,6.0,15.0
387736.62,160,6.0,16.0
501575.5,161,6.0,17.0
451399.0,162,6.0,18.0
609863.8,163,6.0,19.0
-1205.4062,164,6.0,20.0
-8424.031,165,6.0,21.0
777.15625,166,6.0,22.0
89.25,167,6.0,23.0
556427.2,168,7.0,0.0
457937.7,169,7.0,1.0
559756.1,170,7.0,2.0
530872.2,171,7.0,3.0
449629.9,172,7.0,4.0
447254.56,173,7.0,5.0
497437.06,174,7.0,6.0
535747.6,175,7.0,7.0
521671.03,176,7.0,8.0
596580.1,177,7.0,9.0
497649.97,178,7.0,10.0
578001.6,179,7.0,11.0
547989.75,180,7.0,12.0
604340.5,181,7.0,13.0
538840.06,182,7.0,14.0
625523.6,183,7.0,15.0
514548.34,184,7.0,16.0
572930.56,185,7.0,17.0
531846.75,186,7.0,18.0
685298.5,187,7.0,19.0
-6349.2812,188,7.0,20.0
-6060.5312,189,7.0,21.0
-87.5,190,7.0,22.0
-1019.1875,191,7.0,23.0
598412.44,192,8.0,0.0
655321.75,193,8.0,1.0
375155.47,194,8.0,2.0
433296.7,195,8.0,3.0
367349.8,196,8.0,4.0
450121.66,197,8.0,5.0
413657.88,198,8.0,6.0
465246.12,199,8.0,7.0
383353.78,200,8.0,8.0
462102.34,201,8.0,9.0
389902.78,202,8.0,10.0
438751.4,203,8.0,11.0
382719.84,204,8.0,12.0
455591.0,205,8.0,13.0
382137.7,206,8.0,14.0
453473.62,207,8.0,15.0
406731.06,208,8.0,16.0
479070.62,209,8.0,17.0
470807.44,210,8.0,18.0
666130.1,211,8.0,19.0
7431.6875,212,8.0,20.0
-2603.0312,213,8.0,21.0
3275.125,214,8.0,22.0
9597.1875,215,8.0,23.0
709426.6,216,9.0,0.0
600615.3,217,9.0,1.0
420923.7,218,9.0,2.0
462327.84,219,9.0,3.0
471586.22,220,9.0,4.0
449521.84,221,9.0,5.0
500888.6,222,9.0,6.0
520416.03,223,9.0,7.0
498848.16,224,9.0,8.0
584284.44,225,9.0,9.0
494178.9,226,9.0,10.0
564191.4,227,9.0,11.0
534124.1,228,9.0,12.0
600411.75,229,9.0,13.0
493984.84,230,9.0,14.0
559165.75,231,9.0,15.0
453682.38,232,9.0,16.0
521126.7,233,9.0,17.0
617635.0,234,9.0,18.0
843775.25,235,9.0,19.0
6714.8594,236,9.0,20.0
2792.6875,237,9.0,21.0
-3085.2188,238,9.0,22.0
-2567.9375,239,9.0,23.0
594846.3,240,10.0,0.0
633564.5,241,10.0,1.0
463125.44,242,10.0,2.0
566681.25,243,10.0,3.0
372661.75,244,10.0,4.0
432732.12,245,10.0,5.0
411811.03,246,10.0,6.0
444893.7,247,10.0,7.0
386842.2,248,10.0,8.0
456230.6,249,10.0,9.0
385105.88,250,10.0,10.0
451774.66,251,10.0,11.0
391102.62,252,10.0,12.0
455504.84,253,10.0,13.0
390475.1,254,10.0,14.0
472328.8,255,10.0,15.0
425773.1,256,10.0,16.0
524818.6,257,10.0,17.0
488395.47,258,10.0,18.0
646303.44,259,10.0,19.0
-6505.9844,260,10.0,20.0
-13786.547,261,10.0,21.0
-5908.0312,262,10.0,22.0
6364.2188,263,10.0,23.0
672566.1,264,11.0,0.0
560103.94,265,11.0,1.0
599077.25,266,11.0,2.0
578164.06,267,11.0,3.0
502296.22,268,11.0,4.0
461037.8,269,11.0,5.0
484709.5,270,11.0,6.0
500357.0,271,11.0,7.0
527556.7,272,11.0,8.0
645437.75,273,11.0,9.0
533433.94,274,11.0,10.0
599477.0,275,11.0,11.0
529754.2,276,11.0,12.0
602846.9,277,11.0,13.0
550797.8,278,11.0,14.0
625669.44,279,11.0,15.0
609963.06,280,11.0,16.0
732611.75,281,11.0,17.0
544181.3,282,11.0,18.0
701581.2,283,11.0,19.0
10236.109,284,11.0,20.0
-9317.1875,285,11.0,21.0
-4009.8438,286,11.0,22.0
19574.656,287,11.0,23.0
576298.75,288,12.0,0.0
583537.9,289,12.0,1.0
476535.4,290,12.0,2.0
552591.0,291,12.0,3.0
427487.75,292,12.0,4.0
484356.38,293,12.0,5.0
406018.78,294,12.0,6.0
479583.9,295,12.0,7.0
404309.28,296,12.0,8.0
459103.94,297,12.0,9.0
397148.47,298,12.0,10.0
477030.88,299,12.0,11.0
441000.38,300,12.0,12.0
542584.75,301,12.0,13.0
393567.4,302,12.0,14.0
491266.53,303,12.0,15.0
420591.12,304,12.0,16.0
463867.53,305,12.0,17.0
494553.0,306,12.0,18.0
728458.9,307,12.0,19.0
-8476.266,308,12.0,20.0
1716.0469,309,12.0,21.0
-1935.5312,310,12.0,22.0
-7718.375,311,12.0,23.0
606512.5,312,13.0,0.0
608462.7,313,13.0,1.0
611165.25,314,13.0,2.0
532818.4,315,13.0,3.0
547820.94,316,13.0,4.0
550378.56,317,13.0,5.0
555960.94,318,13.0,6.0
593345.06,319,13.0,7.0
528407.5,320,13.0,8.0
606408.4,321,13.0,9.0
557575.5,322,13.0,10.0
611087.75,323,13.0,11.0
617055.7,324,13.0,12.0
669169.25,325,13.0,13.0
675774.4,326,13.0,14.0
780043.4,327,13.0,15.0
507017.28,328,13.0,16.0
537522.7,329,13.0,17.0
687040.4,330,13.0,18.0
883118.44,331,13.0,19.0
160.0625,332,13.0,20.0
2287.4219,333,13.0,21.0
2283.4375,334,13.0,22.0
389.46875,335,13.0,23.0
593611.9,336,14.0,0.0
501572.8,337,14.0,1.0
516088.34,338,14.0,2.0
559773.6,339,14.0,3.0
468326.62,340,14.0,4.0
534706.4,341,14.0,5.0
471312.78,342,14.0,6.0
530326.94,343,14.0,7.0
441508.2,344,14.0,8.0
514325.9,345,14.0,9.0
572502.25,346,14.0,10.0
632106.75,347,14.0,11.0
456994.78,348,14.0,12.0
594417.3,349,14.0,13.0
11634.742,350,14.0,14.0
2384.0078,351,14.0,15.0
570698.5,352,14.0,16.0
583398.75,353,14.0,17.0
519828.72,354,14.0,18.0
722686.56,355,14.0,19.0
955.21875,356,14.0,20.0
1761.4531,357,14.0,21.0
-503.25,358,14.0,22.0
-1602.7188,359,14.0,23.0
667431.6,360,15.0,0.0
548224.9,361,15.0,1.0
720931.75,362,15.0,2.0
667566.1,363,15.0,3.0
642001.75,364,15.0,4.0
655656.6,365,15.0,5.0
615045.1,366,15.0,6.0
681542.5,367,15.0,7.0
632906.0,368,15.0,8.0
677359.3,369,15.0,9.0
763325.75,370,15.0,10.0
769617.25,371,15.0,11.0
662398.94,372,15.0,12.0
765673.4,373,15.0,13.0
-2026.7812,374,15.0,14.0
-16041.0,375,15.0,15.0
733012.6,376,15.0,16.0
730947.1,377,15.0,17.0
775582.25,378,15.0,18.0
960161.2,379,15.0,19.0
-14764.859,380,15.0,20.0
-15269.828,381,15.0,21.0
-13848.094,382,15.0,22.0
13344.094,383,15.0,23.0
